Date and time (PDT),Metres
2022-01-28T04:27:00,2.7
2022-01-28T10:38:00,4.6
2022-01-28T18:07:00,0.9
2022-01-29T00:55:00,3.8
2022-01-29T05:44:00,2.7
2022-01-29T11:41:00,4.8
2022-01-29T19:05:00,0.6
2022-01-30T01:46:00,4.1
2022-01-30T06:49:00,2.5
2022-01-30T12:42:00,4.9
2022-01-30T19:56:00,0.3
2022-01-31T02:31:00,4.3
2022-01-31T07:46:00,2.3
2022-01-31T13:40:00,5.1
2022-01-31T20:43:00,0.2
2022-02-01T03:13:00,4.5
2022-02-01T08:37:00,2.1
2022-02-01T14:34:00,5.1
2022-02-01T21:26:00,0.2
2022-02-02T03:54:00,4.6
2022-02-02T09:26:00,1.9
2022-02-02T15:24:00,5
2022-02-02T22:06:00,0.3
2022-02-03T04:33:00,4.7
2022-02-03T10:14:00,1.8
2022-02-03T16:10:00,4.8
2022-02-03T22:43:00,0.6
2022-02-04T05:12:00,4.7
2022-02-04T11:01:00,1.8
2022-02-04T16:54:00,4.5
2022-02-04T23:18:00,1
2022-02-05T05:49:00,4.6
2022-02-05T11:50:00,1.8
2022-02-05T17:37:00,4.2
2022-02-05T23:50:00,1.4
2022-02-06T06:25:00,4.5
2022-02-06T12:41:00,1.9
2022-02-06T18:24:00,3.8
2022-02-07T00:20:00,1.9
2022-02-07T07:00:00,4.3
2022-02-07T13:38:00,1.9
2022-02-07T19:20:00,3.4
2022-02-08T00:48:00,2.3
2022-02-08T07:37:00,4.2
2022-02-08T14:43:00,1.9
2022-02-08T20:47:00,3.2
2022-02-09T01:24:00,2.7
2022-02-09T08:19:00,4.1
2022-02-09T15:56:00,1.9
2022-02-09T23:01:00,3.2
2022-02-10T02:25:00,3
2022-02-10T09:13:00,4
2022-02-10T17:09:00,1.7
2022-02-11T00:25:00,3.4
2022-02-11T04:14:00,3.1
2022-02-11T10:17:00,4
2022-02-11T18:11:00,1.5
2022-02-12T01:11:00,3.6
2022-02-12T05:45:00,3
2022-02-12T11:18:00,4.1
2022-02-12T18:59:00,1.3
2022-02-13T01:46:00,3.7
2022-02-13T06:39:00,2.9
2022-02-13T12:12:00,4.2
2022-02-13T19:39:00,1.1
2022-02-14T02:16:00,3.9
2022-02-14T07:21:00,2.6
2022-02-14T13:00:00,4.3
2022-02-14T20:14:00,0.9
2022-02-15T02:44:00,4
2022-02-15T07:59:00,2.4
2022-02-15T13:45:00,4.5
2022-02-15T20:45:00,0.8
2022-02-16T03:13:00,4.2
2022-02-16T08:38:00,2.2
2022-02-16T14:28:00,4.6
2022-02-16T21:16:00,0.7
2022-02-17T03:43:00,4.3
2022-02-17T09:17:00,2
2022-02-17T15:10:00,4.6
2022-02-17T21:47:00,0.8
2022-02-18T04:14:00,4.4
2022-02-18T09:57:00,1.8
2022-02-18T15:52:00,4.6
2022-02-18T22:18:00,0.9
2022-02-19T04:45:00,4.5
2022-02-19T10:40:00,1.7
2022-02-19T16:35:00,4.4
2022-02-19T22:49:00,1.1
2022-02-20T05:16:00,4.6
2022-02-20T11:25:00,1.6
2022-02-20T17:19:00,4.2
2022-02-20T23:19:00,1.4
2022-02-21T05:48:00,4.6
2022-02-21T12:13:00,1.5
2022-02-21T18:08:00,3.9
2022-02-21T23:51:00,1.8
2022-02-22T06:21:00,4.5
2022-02-22T13:08:00,1.5
2022-02-22T19:09:00,3.6
2022-02-23T00:26:00,2.2
2022-02-23T06:59:00,4.4
2022-02-23T14:11:00,1.5
2022-02-23T20:32:00,3.4
2022-02-24T01:15:00,2.6
2022-02-24T07:49:00,4.3
2022-02-24T15:24:00,1.4
2022-02-24T22:17:00,3.3
2022-02-25T02:41:00,2.8
2022-02-25T08:58:00,4.3
2022-02-25T16:42:00,1.3
2022-02-25T23:46:00,3.6
2022-02-26T04:28:00,2.9
2022-02-26T10:20:00,4.3
2022-02-26T17:54:00,1
2022-02-27T00:46:00,3.8
2022-02-27T05:51:00,2.7
2022-02-27T11:39:00,4.5
2022-02-27T18:54:00,0.7
2022-02-28T01:32:00,4.1
2022-02-28T06:52:00,2.3
2022-02-28T12:47:00,4.6
2022-02-28T19:42:00,0.5
2022-03-01T02:12:00,4.4
2022-03-01T07:43:00,2
2022-03-01T13:44:00,4.8
2022-03-01T20:25:00,0.4
2022-03-02T02:50:00,4.6
2022-03-02T08:30:00,1.7
2022-03-02T14:33:00,4.9
2022-03-02T21:03:00,0.5
2022-03-03T03:26:00,4.7
2022-03-03T09:14:00,1.5
2022-03-03T15:18:00,4.8
2022-03-03T21:39:00,0.7
2022-03-04T04:01:00,4.8
2022-03-04T09:57:00,1.3
2022-03-04T16:00:00,4.7
2022-03-04T22:12:00,1
2022-03-05T04:33:00,4.8
2022-03-05T10:39:00,1.3
2022-03-05T16:41:00,4.4
2022-03-05T22:42:00,1.3
2022-03-06T05:04:00,4.6
2022-03-06T11:21:00,1.4
2022-03-06T17:21:00,4.1
2022-03-06T23:09:00,1.8
2022-03-07T05:31:00,4.5
2022-03-07T12:04:00,1.5
2022-03-07T18:03:00,3.8
2022-03-07T23:33:00,2.2
2022-03-08T05:57:00,4.3
2022-03-08T12:51:00,1.6
2022-03-08T18:53:00,3.5
2022-03-08T23:59:00,2.5
2022-03-09T06:25:00,4.1
2022-03-09T13:45:00,1.7
2022-03-09T20:06:00,3.2
2022-03-10T00:31:00,2.8
2022-03-10T07:03:00,3.9
2022-03-10T14:53:00,1.8
2022-03-10T22:30:00,3.2
2022-03-11T01:29:00,3.1
2022-03-11T07:59:00,3.8
2022-03-11T16:16:00,1.8
2022-03-12T00:02:00,3.3
2022-03-12T03:40:00,3.1
2022-03-12T09:15:00,3.7
2022-03-12T17:33:00,1.6
2022-03-13T00:44:00,3.5
2022-03-13T05:38:00,3
2022-03-13T10:38:00,3.8
2022-03-13T18:27:00,1.4
2022-03-14T01:14:00,3.7
2022-03-14T06:27:00,2.7
2022-03-14T11:52:00,3.9
2022-03-14T19:07:00,1.2
2022-03-15T01:41:00,3.9
2022-03-15T07:07:00,2.4
2022-03-15T12:50:00,4.1
2022-03-15T19:40:00,1.1
2022-03-16T02:08:00,4.1
2022-03-16T07:44:00,2.1
2022-03-16T13:37:00,4.3
2022-03-16T20:12:00,1
2022-03-17T02:36:00,4.3
2022-03-17T08:21:00,1.7
2022-03-17T14:21:00,4.5
2022-03-17T20:43:00,0.9
2022-03-18T03:04:00,4.5
2022-03-18T08:59:00,1.4
2022-03-18T15:04:00,4.5
2022-03-18T21:14:00,1
2022-03-19T03:34:00,4.7
2022-03-19T09:40:00,1.2
2022-03-19T15:47:00,4.5
2022-03-19T21:46:00,1.2
2022-03-20T04:04:00,4.8
2022-03-20T10:22:00,1
2022-03-20T16:30:00,4.4
2022-03-20T22:18:00,1.4
2022-03-21T04:34:00,4.8
2022-03-21T11:05:00,0.9
2022-03-21T17:16:00,4.2
2022-03-21T22:50:00,1.7
2022-03-22T05:05:00,4.7
2022-03-22T11:52:00,0.9
2022-03-22T18:07:00,3.9
2022-03-22T23:25:00,2.1
2022-03-23T05:38:00,4.6
2022-03-23T12:44:00,1
2022-03-23T19:09:00,3.7
2022-03-24T00:07:00,2.5
2022-03-24T06:18:00,4.4
2022-03-24T13:46:00,1.2
2022-03-24T20:32:00,3.5
2022-03-25T01:08:00,2.8
2022-03-25T07:15:00,4.2
2022-03-25T15:00:00,1.3
2022-03-25T22:10:00,3.5
2022-03-26T02:58:00,2.9
2022-03-26T08:39:00,4
2022-03-26T16:23:00,1.2
2022-03-26T23:29:00,3.7
2022-03-27T04:43:00,2.8
2022-03-27T10:19:00,4
2022-03-27T17:35:00,1.1
2022-03-28T00:22:00,4
2022-03-28T05:53:00,2.4
2022-03-28T11:43:00,4.1
2022-03-28T18:32:00,1
2022-03-29T01:05:00,4.2
2022-03-29T06:46:00,2
2022-03-29T12:47:00,4.3
2022-03-29T19:18:00,0.9
2022-03-30T01:43:00,4.5
2022-03-30T07:33:00,1.6
2022-03-30T13:39:00,4.5
2022-03-30T19:58:00,0.9
2022-03-31T02:18:00,4.7
2022-03-31T08:16:00,1.3
2022-03-31T14:26:00,4.5
2022-03-31T20:34:00,1
2022-04-01T02:52:00,4.8
2022-04-01T08:57:00,1.1
2022-04-01T15:08:00,4.5
2022-04-01T21:07:00,1.2
2022-04-02T03:23:00,4.8
2022-04-02T09:36:00,0.9
2022-04-02T15:48:00,4.4
2022-04-02T21:38:00,1.5
2022-04-03T03:51:00,4.7
2022-04-03T10:15:00,0.9
2022-04-03T16:27:00,4.2
2022-04-03T22:06:00,1.8
2022-04-04T04:16:00,4.6
2022-04-04T10:53:00,1
2022-04-04T17:06:00,4
2022-04-04T22:32:00,2.1
2022-04-05T04:39:00,4.4
2022-04-05T11:32:00,1.1
2022-04-05T17:48:00,3.8
2022-04-05T22:57:00,2.4
2022-04-06T05:02:00,4.3
2022-04-06T12:13:00,1.3
2022-04-06T18:36:00,3.6
2022-04-06T23:26:00,2.7
2022-04-07T05:29:00,4.1
2022-04-07T12:59:00,1.5
2022-04-07T19:41:00,3.3
2022-04-08T00:04:00,2.9
2022-04-08T06:07:00,3.9
2022-04-08T13:56:00,1.6
2022-04-08T21:27:00,3.3
2022-04-09T01:10:00,3.1
2022-04-09T07:04:00,3.7
2022-04-09T15:08:00,1.7
2022-04-09T23:05:00,3.4
2022-04-10T03:30:00,3.1
2022-04-10T08:24:00,3.5
2022-04-10T16:27:00,1.7
2022-04-10T23:52:00,3.6
2022-04-11T05:13:00,2.8
2022-04-11T09:56:00,3.5
2022-04-11T17:30:00,1.6
2022-04-12T00:24:00,3.8
2022-04-12T06:01:00,2.5
2022-04-12T11:24:00,3.7
2022-04-12T18:15:00,1.4
2022-04-13T00:52:00,4
2022-04-13T06:41:00,2.1
2022-04-13T12:30:00,3.9
2022-04-13T18:53:00,1.3
2022-04-14T01:21:00,4.2
2022-04-14T07:19:00,1.7
2022-04-14T13:21:00,4.1
2022-04-14T19:29:00,1.3
2022-04-15T01:50:00,4.5
2022-04-15T07:58:00,1.3
2022-04-15T14:08:00,4.3
2022-04-15T20:03:00,1.3
2022-04-16T02:20:00,4.7
2022-04-16T08:38:00,0.9
2022-04-16T14:53:00,4.4
2022-04-16T20:38:00,1.4
2022-04-17T02:50:00,4.9
2022-04-17T09:20:00,0.6
2022-04-17T15:37:00,4.4
2022-04-17T21:13:00,1.6
2022-04-18T03:22:00,5
2022-04-18T10:03:00,0.4
2022-04-18T16:23:00,4.3
2022-04-18T21:50:00,1.8
2022-04-19T03:55:00,5
2022-04-19T10:48:00,0.4
