Date,predictions(m)
2022-06-27 23:45 PDT,4.13
2022-06-28 00:00 PDT,4.2
2022-06-28 00:15 PDT,4.26
2022-06-28 00:30 PDT,4.31
2022-06-28 00:45 PDT,4.35
2022-06-28 01:00 PDT,4.38
2022-06-28 01:15 PDT,4.4
2022-06-28 01:30 PDT,4.4
2022-06-28 01:45 PDT,4.39
2022-06-28 02:00 PDT,4.37
2022-06-28 02:15 PDT,4.32
2022-06-28 02:30 PDT,4.26
2022-06-28 02:45 PDT,4.17
2022-06-28 03:00 PDT,4.07
2022-06-28 03:15 PDT,3.94
2022-06-28 03:30 PDT,3.8
2022-06-28 03:45 PDT,3.64
2022-06-28 04:00 PDT,3.47
2022-06-28 04:15 PDT,3.29
2022-06-28 04:30 PDT,3.1
2022-06-28 04:45 PDT,2.9
2022-06-28 05:00 PDT,2.71
2022-06-28 05:15 PDT,2.52
2022-06-28 05:30 PDT,2.32
2022-06-28 05:45 PDT,2.14
2022-06-28 06:00 PDT,1.96
2022-06-28 06:15 PDT,1.78
2022-06-28 06:30 PDT,1.61
2022-06-28 06:45 PDT,1.46
2022-06-28 07:00 PDT,1.31
2022-06-28 07:15 PDT,1.17
2022-06-28 07:30 PDT,1.05
2022-06-28 07:45 PDT,0.95
2022-06-28 08:00 PDT,0.87
2022-06-28 08:15 PDT,0.81
2022-06-28 08:30 PDT,0.77
2022-06-28 08:45 PDT,0.76
2022-06-28 09:00 PDT,0.78
2022-06-28 09:15 PDT,0.83
2022-06-28 09:30 PDT,0.9
2022-06-28 09:45 PDT,1
2022-06-28 10:00 PDT,1.11
2022-06-28 10:15 PDT,1.25
2022-06-28 10:30 PDT,1.39
2022-06-28 10:45 PDT,1.55
2022-06-28 11:00 PDT,1.71
2022-06-28 11:15 PDT,1.88
2022-06-28 11:30 PDT,2.04
2022-06-28 11:45 PDT,2.21
2022-06-28 12:00 PDT,2.37
2022-06-28 12:15 PDT,2.54
2022-06-28 12:30 PDT,2.7
2022-06-28 12:45 PDT,2.85
2022-06-28 13:00 PDT,3.01
2022-06-28 13:15 PDT,3.15
2022-06-28 13:30 PDT,3.29
2022-06-28 13:45 PDT,3.42
2022-06-28 14:00 PDT,3.54
2022-06-28 14:15 PDT,3.65
2022-06-28 14:30 PDT,3.73
2022-06-28 14:45 PDT,3.79
2022-06-28 15:00 PDT,3.83
2022-06-28 15:15 PDT,3.84
2022-06-28 15:30 PDT,3.84
2022-06-28 15:45 PDT,3.8
2022-06-28 16:00 PDT,3.75
2022-06-28 16:15 PDT,3.68
2022-06-28 16:30 PDT,3.6
2022-06-28 16:45 PDT,3.5
2022-06-28 17:00 PDT,3.41
2022-06-28 17:15 PDT,3.31
2022-06-28 17:30 PDT,3.21
2022-06-28 17:45 PDT,3.12
2022-06-28 18:00 PDT,3.03
2022-06-28 18:15 PDT,2.95
2022-06-28 18:30 PDT,2.88
2022-06-28 18:45 PDT,2.81
2022-06-28 19:00 PDT,2.76
2022-06-28 19:15 PDT,2.71
2022-06-28 19:30 PDT,2.67
2022-06-28 19:45 PDT,2.64
2022-06-28 20:00 PDT,2.62
2022-06-28 20:15 PDT,2.61
2022-06-28 20:30 PDT,2.62
2022-06-28 20:45 PDT,2.64
2022-06-28 21:00 PDT,2.69
2022-06-28 21:15 PDT,2.75
2022-06-28 21:30 PDT,2.82
2022-06-28 21:45 PDT,2.92
2022-06-28 22:00 PDT,3.03
2022-06-28 22:15 PDT,3.15
2022-06-28 22:30 PDT,3.28
2022-06-28 22:45 PDT,3.41
2022-06-28 23:00 PDT,3.54
2022-06-28 23:15 PDT,3.67
2022-06-28 23:30 PDT,3.8
2022-06-28 23:45 PDT,3.91
2022-06-29 00:00 PDT,4.02
2022-06-29 00:15 PDT,4.11
2022-06-29 00:30 PDT,4.19
2022-06-29 00:45 PDT,4.26
2022-06-29 01:00 PDT,4.31
2022-06-29 01:15 PDT,4.35
2022-06-29 01:30 PDT,4.38
2022-06-29 01:45 PDT,4.4
2022-06-29 02:00 PDT,4.4
2022-06-29 02:15 PDT,4.39
2022-06-29 02:30 PDT,4.37
2022-06-29 02:45 PDT,4.33
2022-06-29 03:00 PDT,4.27
2022-06-29 03:15 PDT,4.19
2022-06-29 03:30 PDT,4.09
2022-06-29 03:45 PDT,3.97
2022-06-29 04:00 PDT,3.83
2022-06-29 04:15 PDT,3.68
2022-06-29 04:30 PDT,3.51
2022-06-29 04:45 PDT,3.33
2022-06-29 05:00 PDT,3.14
2022-06-29 05:15 PDT,2.95
2022-06-29 05:30 PDT,2.75
2022-06-29 05:45 PDT,2.56
2022-06-29 06:00 PDT,2.36
2022-06-29 06:15 PDT,2.17
2022-06-29 06:30 PDT,1.99
2022-06-29 06:45 PDT,1.81
2022-06-29 07:00 PDT,1.64
2022-06-29 07:15 PDT,1.48
2022-06-29 07:30 PDT,1.33
2022-06-29 07:45 PDT,1.18
2022-06-29 08:00 PDT,1.06
2022-06-29 08:15 PDT,0.94
2022-06-29 08:30 PDT,0.85
2022-06-29 08:45 PDT,0.78
2022-06-29 09:00 PDT,0.73
2022-06-29 09:15 PDT,0.71
2022-06-29 09:30 PDT,0.72
2022-06-29 09:45 PDT,0.75
2022-06-29 10:00 PDT,0.81
2022-06-29 10:15 PDT,0.9
2022-06-29 10:30 PDT,1.01
2022-06-29 10:45 PDT,1.14
2022-06-29 11:00 PDT,1.29
2022-06-29 11:15 PDT,1.44
2022-06-29 11:30 PDT,1.61
2022-06-29 11:45 PDT,1.78
2022-06-29 12:00 PDT,1.95
2022-06-29 12:15 PDT,2.13
2022-06-29 12:30 PDT,2.3
2022-06-29 12:45 PDT,2.47
2022-06-29 13:00 PDT,2.63
2022-06-29 13:15 PDT,2.8
2022-06-29 13:30 PDT,2.95
2022-06-29 13:45 PDT,3.11
2022-06-29 14:00 PDT,3.25
2022-06-29 14:15 PDT,3.39
2022-06-29 14:30 PDT,3.52
2022-06-29 14:45 PDT,3.63
2022-06-29 15:00 PDT,3.72
2022-06-29 15:15 PDT,3.79
2022-06-29 15:30 PDT,3.84
2022-06-29 15:45 PDT,3.87
2022-06-29 16:00 PDT,3.87
2022-06-29 16:15 PDT,3.84
2022-06-29 16:30 PDT,3.8
2022-06-29 16:45 PDT,3.73
2022-06-29 17:00 PDT,3.65
2022-06-29 17:15 PDT,3.56
2022-06-29 17:30 PDT,3.46
2022-06-29 17:45 PDT,3.36
2022-06-29 18:00 PDT,3.25
2022-06-29 18:15 PDT,3.15
2022-06-29 18:30 PDT,3.06
2022-06-29 18:45 PDT,2.97
2022-06-29 19:00 PDT,2.89
2022-06-29 19:15 PDT,2.82
2022-06-29 19:30 PDT,2.76
2022-06-29 19:45 PDT,2.71
2022-06-29 20:00 PDT,2.66
2022-06-29 20:15 PDT,2.63
2022-06-29 20:30 PDT,2.6
2022-06-29 20:45 PDT,2.59
2022-06-29 21:00 PDT,2.59
2022-06-29 21:15 PDT,2.61
2022-06-29 21:30 PDT,2.65
2022-06-29 21:45 PDT,2.7
2022-06-29 22:00 PDT,2.77
2022-06-29 22:15 PDT,2.86
2022-06-29 22:30 PDT,2.96
2022-06-29 22:45 PDT,3.08
2022-06-29 23:00 PDT,3.21
2022-06-29 23:15 PDT,3.34
2022-06-29 23:30 PDT,3.48
2022-06-29 23:45 PDT,3.61
2022-06-30 00:00 PDT,3.74
2022-06-30 00:15 PDT,3.86
2022-06-30 00:30 PDT,3.97
2022-06-30 00:45 PDT,4.07
2022-06-30 01:00 PDT,4.15
2022-06-30 01:15 PDT,4.22
2022-06-30 01:30 PDT,4.28
2022-06-30 01:45 PDT,4.32
2022-06-30 02:00 PDT,4.36
2022-06-30 02:15 PDT,4.37
2022-06-30 02:30 PDT,4.38
2022-06-30 02:45 PDT,4.37
2022-06-30 03:00 PDT,4.35
2022-06-30 03:15 PDT,4.31
2022-06-30 03:30 PDT,4.26
2022-06-30 03:45 PDT,4.18
2022-06-30 04:00 PDT,4.09
2022-06-30 04:15 PDT,3.98
2022-06-30 04:30 PDT,3.85
2022-06-30 04:45 PDT,3.7
2022-06-30 05:00 PDT,3.54
2022-06-30 05:15 PDT,3.36
2022-06-30 05:30 PDT,3.18
2022-06-30 05:45 PDT,2.99
2022-06-30 06:00 PDT,2.79
2022-06-30 06:15 PDT,2.6
2022-06-30 06:30 PDT,2.4
2022-06-30 06:45 PDT,2.21
2022-06-30 07:00 PDT,2.03
2022-06-30 07:15 PDT,1.85
2022-06-30 07:30 PDT,1.68
2022-06-30 07:45 PDT,1.51
2022-06-30 08:00 PDT,1.36
2022-06-30 08:15 PDT,1.22
2022-06-30 08:30 PDT,1.09
2022-06-30 08:45 PDT,0.97
2022-06-30 09:00 PDT,0.87
2022-06-30 09:15 PDT,0.79
2022-06-30 09:30 PDT,0.74
2022-06-30 09:45 PDT,0.71
2022-06-30 10:00 PDT,0.71
2022-06-30 10:15 PDT,0.73
2022-06-30 10:30 PDT,0.78
2022-06-30 10:45 PDT,0.86
2022-06-30 11:00 PDT,0.96
2022-06-30 11:15 PDT,1.09
2022-06-30 11:30 PDT,1.23
2022-06-30 11:45 PDT,1.38
2022-06-30 12:00 PDT,1.55
2022-06-30 12:15 PDT,1.72
2022-06-30 12:30 PDT,1.89
2022-06-30 12:45 PDT,2.07
2022-06-30 13:00 PDT,2.24
2022-06-30 13:15 PDT,2.41
2022-06-30 13:30 PDT,2.58
2022-06-30 13:45 PDT,2.74
2022-06-30 14:00 PDT,2.9
2022-06-30 14:15 PDT,3.06
2022-06-30 14:30 PDT,3.2
2022-06-30 14:45 PDT,3.34
2022-06-30 15:00 PDT,3.47
2022-06-30 15:15 PDT,3.59
2022-06-30 15:30 PDT,3.69
2022-06-30 15:45 PDT,3.77
2022-06-30 16:00 PDT,3.83
2022-06-30 16:15 PDT,3.86
2022-06-30 16:30 PDT,3.87
2022-06-30 16:45 PDT,3.86
2022-06-30 17:00 PDT,3.82
2022-06-30 17:15 PDT,3.76
2022-06-30 17:30 PDT,3.69
2022-06-30 17:45 PDT,3.6
2022-06-30 18:00 PDT,3.5
2022-06-30 18:15 PDT,3.4
2022-06-30 18:30 PDT,3.29
2022-06-30 18:45 PDT,3.19
2022-06-30 19:00 PDT,3.09
2022-06-30 19:15 PDT,3
2022-06-30 19:30 PDT,2.91
2022-06-30 19:45 PDT,2.84
2022-06-30 20:00 PDT,2.77
2022-06-30 20:15 PDT,2.71
2022-06-30 20:30 PDT,2.66
2022-06-30 20:45 PDT,2.62
2022-06-30 21:00 PDT,2.59
2022-06-30 21:15 PDT,2.58
2022-06-30 21:30 PDT,2.57
2022-06-30 21:45 PDT,2.58
2022-06-30 22:00 PDT,2.61
2022-06-30 22:15 PDT,2.65
2022-06-30 22:30 PDT,2.71
2022-06-30 22:45 PDT,2.79
2022-06-30 23:00 PDT,2.89
2022-06-30 23:15 PDT,3
2022-06-30 23:30 PDT,3.12
2022-06-30 23:45 PDT,3.25
2022-07-01 00:00 PDT,3.38
2022-07-01 00:15 PDT,3.52
2022-07-01 00:30 PDT,3.65
2022-07-01 00:45 PDT,3.77
2022-07-01 01:00 PDT,3.88
2022-07-01 01:15 PDT,3.98
2022-07-01 01:30 PDT,4.07
2022-07-01 01:45 PDT,4.15
2022-07-01 02:00 PDT,4.21
2022-07-01 02:15 PDT,4.25
2022-07-01 02:30 PDT,4.29
2022-07-01 02:45 PDT,4.31
2022-07-01 03:00 PDT,4.32
2022-07-01 03:15 PDT,4.32
2022-07-01 03:30 PDT,4.3
2022-07-01 03:45 PDT,4.27
2022-07-01 04:00 PDT,4.22
2022-07-01 04:15 PDT,4.16
2022-07-01 04:30 PDT,4.07
2022-07-01 04:45 PDT,3.97
2022-07-01 05:00 PDT,3.84
2022-07-01 05:15 PDT,3.7
2022-07-01 05:30 PDT,3.55
2022-07-01 05:45 PDT,3.38
2022-07-01 06:00 PDT,3.2
2022-07-01 06:15 PDT,3.01
2022-07-01 06:30 PDT,2.82
2022-07-01 06:45 PDT,2.63
2022-07-01 07:00 PDT,2.44
2022-07-01 07:15 PDT,2.26
2022-07-01 07:30 PDT,2.07
2022-07-01 07:45 PDT,1.9
2022-07-01 08:00 PDT,1.73
2022-07-01 08:15 PDT,1.57
2022-07-01 08:30 PDT,1.42
2022-07-01 08:45 PDT,1.28
2022-07-01 09:00 PDT,1.15
2022-07-01 09:15 PDT,1.03
2022-07-01 09:30 PDT,0.93
2022-07-01 09:45 PDT,0.85
2022-07-01 10:00 PDT,0.79
2022-07-01 10:15 PDT,0.75
2022-07-01 10:30 PDT,0.74
2022-07-01 10:45 PDT,0.76
2022-07-01 11:00 PDT,0.8
2022-07-01 11:15 PDT,0.88
2022-07-01 11:30 PDT,0.97
2022-07-01 11:45 PDT,1.09
2022-07-01 12:00 PDT,1.22
2022-07-01 12:15 PDT,1.37
2022-07-01 12:30 PDT,1.53
2022-07-01 12:45 PDT,1.7
2022-07-01 13:00 PDT,1.87
2022-07-01 13:15 PDT,2.04
2022-07-01 13:30 PDT,2.2
2022-07-01 13:45 PDT,2.37
2022-07-01 14:00 PDT,2.54
2022-07-01 14:15 PDT,2.7
2022-07-01 14:30 PDT,2.85
2022-07-01 14:45 PDT,3
2022-07-01 15:00 PDT,3.15
2022-07-01 15:15 PDT,3.29
2022-07-01 15:30 PDT,3.42
2022-07-01 15:45 PDT,3.54
2022-07-01 16:00 PDT,3.65
2022-07-01 16:15 PDT,3.73
2022-07-01 16:30 PDT,3.8
2022-07-01 16:45 PDT,3.84
2022-07-01 17:00 PDT,3.86
2022-07-01 17:15 PDT,3.86
2022-07-01 17:30 PDT,3.83
2022-07-01 17:45 PDT,3.78
2022-07-01 18:00 PDT,3.71
2022-07-01 18:15 PDT,3.63
2022-07-01 18:30 PDT,3.53
2022-07-01 18:45 PDT,3.43
2022-07-01 19:00 PDT,3.33
2022-07-01 19:15 PDT,3.23
2022-07-01 19:30 PDT,3.13
2022-07-01 19:45 PDT,3.04
2022-07-01 20:00 PDT,2.95
2022-07-01 20:15 PDT,2.87
2022-07-01 20:30 PDT,2.8
2022-07-01 20:45 PDT,2.74
2022-07-01 21:00 PDT,2.68
2022-07-01 21:15 PDT,2.64
2022-07-01 21:30 PDT,2.6
2022-07-01 21:45 PDT,2.57
2022-07-01 22:00 PDT,2.56
2022-07-01 22:15 PDT,2.56
2022-07-01 22:30 PDT,2.57
2022-07-01 22:45 PDT,2.6
2022-07-01 23:00 PDT,2.65
2022-07-01 23:15 PDT,2.72
2022-07-01 23:30 PDT,2.8
2022-07-01 23:45 PDT,2.9
2022-07-02 00:00 PDT,3.01
